car model,car category,brand name,price,engine,transmission,fuel type,kmpl,color,year,seater,carfullfeature,dealer ID,dealer name,dealer GPS
Maruti Suzuki Swift,Hatchback,Maruti Suzuki,600000,1.2L,Manual,Petrol,23,White,2023,5,Maruti Suzuki Swift Hatchback by Maruti Suzuki priced at 600000 features a 1.2L engine Manual transmission Petrol fuel type 23 kmpl White color 5 seater manufactured in 2023,dealer_655,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=23.918737416780342,73.96181444289348"
Hyundai Creta,Compact SUV,Hyundai,1500000,1.5L,Manual,Diesel,21,Black,2022,5,Hyundai Creta Compact SUV by Hyundai priced at 1500000 features a 1.5L engine Manual transmission Diesel fuel type 21 kmpl Black color 5 seater manufactured in 2022,dealer_115,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=13.85018340757684,90.84590677272028"
Tata Nexon,Compact SUV,Tata Motors,1200000,1.2L Turbo,Automatic,Petrol,22,Blue,2023,5,Tata Nexon Compact SUV by Tata Motors priced at 1200000 features a 1.2L Turbo engine Automatic transmission Petrol fuel type 22 kmpl Blue color 5 seater manufactured in 2023,dealer_26,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=27.852574888515168,85.50792442017404"
Mahindra Thar,Off-road SUV,Mahindra,1600000,2.0L Turbo,Manual,Petrol,15,Red,2022,4,Mahindra Thar Off-road SUV by Mahindra priced at 1600000 features a 2.0L Turbo engine Manual transmission Petrol fuel type 15 kmpl Red color 4 seater manufactured in 2022,dealer_760,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=10.548175226037047,71.31375170161495"
Kia Seltos,Compact SUV,Kia,1400000,1.5L,Manual,Diesel,20,Silver,2023,5,Kia Seltos Compact SUV by Kia priced at 1400000 features a 1.5L engine Manual transmission Diesel fuel type 20 kmpl Silver color 5 seater manufactured in 2023,dealer_282,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=12.025918429818592,80.0206329419052"
Honda City,Sedan,Honda,1200000,1.5L,Manual,Petrol,17,Black,2023,5,Honda City Sedan by Honda priced at 1200000 features a 1.5L engine Manual transmission Petrol fuel type 17 kmpl Black color 5 seater manufactured in 2023,dealer_251,MNY Cars,"https://www.google.com/maps/search/?api=1&query=8.078616083015561,93.04202607777574"
Ford EcoSport,Compact SUV,Ford,1100000,1.5L,Automatic,Petrol,16,Blue,2022,5,Ford EcoSport Compact SUV by Ford priced at 1100000 features a 1.5L engine Automatic transmission Petrol fuel type 16 kmpl Blue color 5 seater manufactured in 2022,dealer_229,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=11.384185860108758,94.76584672215606"
Nissan Magnite,Compact SUV,Nissan,1000000,1.0L Turbo,Manual,Petrol,18,Red,2023,5,Nissan Magnite Compact SUV by Nissan priced at 1000000 features a 1.0L Turbo engine Manual transmission Petrol fuel type 18 kmpl Red color 5 seater manufactured in 2023,dealer_143,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=21.721819830504874,81.50530354724557"
MG Hector,Mid-size SUV,MG,1800000,2.0L,Automatic,Diesel,17,Silver,2023,5,MG Hector Mid-size SUV by MG priced at 1800000 features a 2.0L engine Automatic transmission Diesel fuel type 17 kmpl Silver color 5 seater manufactured in 2023,dealer_755,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=25.57695455061932,81.94427236458313"
Volkswagen Polo,Hatchback,Volkswagen,800000,1.0L,Manual,Petrol,19,White,2022,5,Volkswagen Polo Hatchback by Volkswagen priced at 800000 features a 1.0L engine Manual transmission Petrol fuel type 19 kmpl White color 5 seater manufactured in 2022,dealer_105,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=31.034394049027412,94.63518702323974"
Renault Kwid,Hatchback,Renault,500000,0.8L,Manual,Petrol,25,Blue,2023,5,Renault Kwid Hatchback by Renault priced at 500000 features a 0.8L engine Manual transmission Petrol fuel type 25 kmpl Blue color 5 seater manufactured in 2023,dealer_693,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=11.094278253289646,85.02497849996045"
Skoda Superb,Sedan,Skoda,2800000,2.0L,Automatic,Petrol,15,Black,2023,5,Skoda Superb Sedan by Skoda priced at 2800000 features a 2.0L engine Automatic transmission Petrol fuel type 15 kmpl Black color 5 seater manufactured in 2023,dealer_759,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=32.67109634047719,68.9525534370597"
Hyundai i20,Hatchback,Hyundai,900000,1.2L,Manual,Petrol,20,Red,2023,5,Hyundai i20 Hatchback by Hyundai priced at 900000 features a 1.2L engine Manual transmission Petrol fuel type 20 kmpl Red color 5 seater manufactured in 2023,dealer_914,MNY Cars,"https://www.google.com/maps/search/?api=1&query=29.633261240912827,94.46973442349474"
Tata Harrier,Mid-size SUV,Tata Motors,2000000,2.0L,Automatic,Diesel,16,White,2022,5,Tata Harrier Mid-size SUV by Tata Motors priced at 2000000 features a 2.0L engine Automatic transmission Diesel fuel type 16 kmpl White color 5 seater manufactured in 2022,dealer_559,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=19.84703049514159,75.19856683995741"
Maruti Suzuki Alto,Hatchback,Maruti Suzuki,400000,0.8L,Manual,Petrol,22,Silver,2023,5,Maruti Suzuki Alto Hatchback by Maruti Suzuki priced at 400000 features a 0.8L engine Manual transmission Petrol fuel type 22 kmpl Silver color 5 seater manufactured in 2023,dealer_90,MNY Cars,"https://www.google.com/maps/search/?api=1&query=35.05520394589868,84.75132666865487"
Kia Carnival,Minivan,Kia,2800000,2.2L,Automatic,Diesel,14,Blue,2022,7,Kia Carnival Minivan by Kia priced at 2800000 features a 2.2L engine Automatic transmission Diesel fuel type 14 kmpl Blue color 7 seater manufactured in 2022,dealer_605,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=36.736954817264326,72.79988620541124"
